time,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,measured_left_hip_yaw,measured_left_hip_roll,measured_left_hip_pitch,measured_left_knee,measured_left_ankle,measured_neck_pitch,measured_head_pitch,measured_head_yaw,measured_head_roll,measured_right_hip_yaw,measured_right_hip_roll,measured_right_hip_pitch,measured_right_knee,measured_right_ankle,trunk_z_m
1.04,0.120045,-0.228673,-0.40902,-0.073184,0.429134,0.340317,0.289069,0.026275,-0.02257,0.096313,0.198618,0.466039,0.139949,-0.517601,0.107759,-0.080243,-0.411928,0.047269,0.397099,0.342946,0.35185,0.024875,-0.01895,0.101143,0.0942,0.497247,-0.041398,-0.474827,0.115775
1.06,0.119247,-0.229617,-0.408993,-0.074242,0.429965,0.339497,0.289572,0.02655,-0.023376,0.096157,0.199266,0.467495,0.13726,-0.517442,0.107773,-0.080258,-0.41186,0.047255,0.397109,0.343,0.351833,0.024881,-0.018949,0.101163,0.094021,0.497221,-0.041121,-0.475541,0.115786
1.08,0.118936,-0.228078,-0.408246,-0.071916,0.426715,0.339149,0.290331,0.026923,-0.022931,0.095138,0.199352,0.465197,0.136215,-0.521975,0.107783,-0.080252,-0.411838,0.047349,0.397062,0.343,0.351829,0.024898,-0.018948,0.101182,0.094069,0.497327,-0.040815,-0.475162,0.115764
1.1,0.119048,-0.22881,-0.408708,-0.073344,0.429723,0.338871,0.291105,0.026984,-0.023431,0.095557,0.198966,0.465211,0.138001,-0.522783,0.107791,-0.080261,-0.411831,0.047356,0.397024,0.343019,0.351823,0.02491,-0.018951,0.101193,0.093975,0.497363,-0.040808,-0.475081,0.115774
1.12,0.120402,-0.229756,-0.408742,-0.07395,0.430152,0.340107,0.289073,0.027166,-0.023139,0.095374,0.199855,0.465789,0.138686,-0.516756,0.107799,-0.080265,-0.411811,0.047398,0.397001,0.343033,0.351819,0.024921,-0.018953,0.101204,0.093925,0.497388,-0.040616,-0.475325,0.11577
1.14,0.11862,-0.226321,-0.407215,-0.069621,0.426148,0.337569,0.293428,0.027799,-0.022038,0.094505,0.197822,0.462447,0.135283,-0.533594,0.107814,-0.080192,-0.411914,0.047457,0.396978,0.342994,0.351825,0.024948,-0.018952,0.101208,0.094245,0.497428,-0.040807,-0.474337,0.115734
1.16,0.12042,-0.227884,-0.41025,-0.072917,0.426143,0.342489,0.288772,0.02525,-0.022348,0.095759,0.198832,0.464616,0.143722,-0.516068,0.10782,-0.080226,-0.411953,0.047438,0.39698,0.342997,0.351838,0.024954,-0.018954,0.101203,0.094173,0.497335,-0.041409,-0.47422,0.11575
1.18,0.119437,-0.229171,-0.409361,-0.073059,0.428854,0.339285,0.288999,0.026331,-0.022548,0.096268,0.199698,0.466739,0.137566,-0.517974,0.107836,-0.080236,-0.411808,0.047334,0.397052,0.343165,0.351819,0.024957,-0.018953,0.101211,0.094014,0.497299,-0.041191,-0.474929,0.11578
1.2,0.119721,-0.23035,-0.409253,-0.075001,0.431396,0.339278,0.288911,0.027017,-0.022999,0.095718,0.199591,0.46749,0.136596,-0.515345,0.107849,-0.08022,-0.411732,0.047351,0.397004,0.343227,0.351799,0.024962,-0.018951,0.10123,0.093949,0.497273,-0.04074,-0.475619,0.115774
1.22,0.118182,-0.225815,-0.407443,-0.069069,0.42605,0.337046,0.294506,0.027616,-0.022253,0.09426,0.197375,0.461959,0.134193,-0.536067,0.107862,-0.080101,-0.411739,0.047408,0.396996,0.343139,0.3518,0.024992,-0.018946,0.101239,0.094349,0.497358,-0.040745,-0.474453,0.115738
